Year,County,Hospital,OSHPDID,system,Type of Report,Performance Measure,# of Adverse Events,# of Cases,Risk-adjusted Rate,Hospital Ratings,Longitude,Latitude
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,0,3,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,0,85,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,5,137,3.4,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,0,31,0,As Expected,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.253,37.76266
2017,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,5,98,6.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,1,12,13.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,6,102,8.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,2,12,20.2,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,4,88,5.3,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,0,3,0,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,1,63,1.4,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,6,203,2.8,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,1,28,4.1,As Expected,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.253,37.76266
2018,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,1,110,0.9,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AAA Repair Endo Unrupture,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AAA Repair Open Unrupture,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,0,11,0,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,6,106,8.9,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,3,8,38.8,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,2,97,2.7,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,2,70,7.3,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,2,205,1,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,0,30,0,As Expected,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.253,37.76266
2019,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,3,113,3.6,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AAA Repair Endo Unrupture,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AAA Repair Open Unrupture,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,AMI,0,4,0,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke,1,84,3.3,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Hemorrhagic,0,3,0,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Ischemic,1,81,2,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Acute Stroke Subarachnoid,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Carotid Endarterectomy,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,GI Hemorrhage,6,70,5.2,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Heart Failure,3,144,2.4,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Hip Fracture,1,28,5.3,As Expected,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,PCI,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.253,37.76266
2020,Alameda,Alameda Hospital,106010735,Alameda Health System,IMI,Pneumonia,12,170,6.2,As Expected,-122.253,37.76266
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,1,18,4.6,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,24,216,9,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,20,85,22.2,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,1,126,1.6,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,3,5,34.1,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,8,233,4.7,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,3,268,1.3,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,0,90,0,As Expected,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,,,,,-122.257,37.85645
2016,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,1,99,0.9,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,1,26,2.3,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,14,213,5.8,Better,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,13,95,16.2,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,1,115,1.1,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,0,3,0,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,3,206,1.4,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,12,306,3.3,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,2,89,2.7,As Expected,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,,,,,-122.257,37.85645
2017,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,5,82,4.6,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,1,22,4.5,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,26,202,6.8,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,24,101,18.3,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,1,98,0.8,Better,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,1,3,24,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,3,195,1.4,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,10,324,2.2,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,1,92,0.8,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,0,4,0,As Expected,-122.257,37.85645
2018,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,1,74,1.3,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AAA Repair Endo Unrupture,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AAA Repair Open Unrupture,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,3,29,4.4,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,17,194,5.4,Better,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,14,92,13.5,Better,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,3,96,2.9,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,0,6,0,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,1,187,0.8,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,14,311,4.1,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,1,90,1,As Expected,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,,,,,-122.257,37.85645
2019,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,0,67,0,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AAA Repair Endo Unrupture,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AAA Repair Open Unrupture,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,AMI,4,16,10,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke,19,197,7.2,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Hemorrhagic,17,102,19.5,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Ischemic,2,89,2.7,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Acute Stroke Subarachnoid,0,6,0,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Carotid Endarterectomy,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,GI Hemorrhage,3,154,1.8,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Heart Failure,11,261,3.3,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Hip Fracture,2,79,2.4,As Expected,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,PCI,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pancreatic Resection,,,,,-122.257,37.85645
2020,Alameda,Alta Bates Summit Medical Center – Alta Bates Campus,106010739,Sutter Health,IMI,Pneumonia,10,135,7.2,As Expected,-122.257,37.85645
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,12,158,10.5,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,17,147,10.6,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,10,36,29.4,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,6,106,5.8,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,1,5,10.2,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,0,5,0,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,4,147,4.4,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,1,317,0.7,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,1,38,3.6,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,10,132,10.1,Worse,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,0,4,0,As Expected,-122.231,37.79925
2016,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,0,127,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Emergency CABG,0,0,0,As Expected,-122.23138,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Mortality,0,0,0,As Expected,-122.23138,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Stroke,0,0,0,As Expected,-122.23138,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,13,154,9.5,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,13,118,10,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,9,40,21.5,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,2,75,4.9,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,2,3,54.3,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,0,4,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,5,148,3.2,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,4,379,1.5,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,0,45,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,4,138,2.8,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,0,6,0,As Expected,-122.231,37.79925
2017,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,1,99,2.1,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Emergency CABG,0,9,,As Expected,-122.23138,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Mortality,0,9,0,As Expected,-122.23138,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Stroke,0,9,0,As Expected,-122.23138,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,11,163,8.4,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,22,158,10.7,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,12,44,24,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,7,107,6.4,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,3,7,26.4,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,,,,,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,2,133,0.8,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,7,355,2.5,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,1,48,1.3,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,6,136,5,As Expected,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.231,37.79925
2018,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,2,134,2,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Emergency CABG,0,10,,As Expected,-122.23138,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Mortality,0,10,0,As Expected,-122.23138,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Stroke,0,10,0,As Expected,-122.23138,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AAA Repair Endo Unrupture,0,3,0,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AAA Repair Open Unrupture,,,,,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,7,198,4.5,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,18,138,9.1,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,12,43,22.9,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,4,91,3.6,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,2,4,37.8,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,,,,,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,6,190,2.8,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,5,389,1.6,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,0,53,0,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,8,142,5.4,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,1,6,5,As Expected,-122.231,37.79925
2019,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,4,119,5.2,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Emergency CABG,0,14,,As Expected,-122.23138,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Mortality,0,14,0,As Expected,-122.23138,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,PCI,Elective PCI Stroke,0,14,0,As Expected,-122.23138,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AAA Repair Endo Unrupture,0,3,0,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AAA Repair Open Unrupture,,,,,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,AMI,7,110,5.3,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke,16,155,9.7,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Hemorrhagic,10,39,21,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Ischemic,5,113,6.9,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Acute Stroke Subarachnoid,1,3,20,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Carotid Endarterectomy,1,15,25.7,Worse,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,GI Hemorrhage,7,209,2.7,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Heart Failure,5,509,1.2,Better,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Hip Fracture,0,75,0,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,PCI,5,108,3.6,As Expected,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pancreatic Resection,,,,,-122.231,37.79925
2020,Alameda,Highland Hospital,106010846,Alameda Health System,IMI,Pneumonia,22,396,6.6,As Expected,-122.231,37.79925
